Element Count, Merge Sort - Ascending
10, 7750
11, 8929
12, 8141
13, 8770
14, 9287
15, 10320
16, 10374
17, 11966
18, 14429
19, 14679
20, 14808
21, 15870
22, 16354
23, 17224
24, 17866
25, 18579
26, 19370
27, 20987
28, 19879
29, 18800
30, 19254
31, 19829
32, 23725
33, 22166
34, 23079
35, 24095
36, 25137
37, 25916
38, 27179
39, 26816
40, 27179
41, 27833
42, 28520
43, 29033
44, 29808
45, 30362
46, 31066
47, 32816
48, 32912
49, 34804
50, 35604
51, 32233
52, 31433
53, 31837
54, 32404
55, 32929
56, 33479
57, 34070
58, 34525
59, 34824
60, 35341
61, 35721
62, 36195
63, 37895
64, 37716
65, 40412
66, 39600
67, 37745
68, 38683
69, 39462
70, 40191
71, 41271
72, 42508
73, 43229
74, 43112
75, 44225
76, 44695
77, 45445
78, 46695
79, 47237
80, 45133
81, 44404
82, 45041
83, 45529
84, 45933
85, 46462
86, 46987
87, 47300
88, 47833
89, 48500
90, 49029
91, 49462
92, 50404
93, 47941
94, 47995
95, 48537
96, 48766
97, 49475
98, 49520
99, 49899
100, 50441
101, 50987
102, 52491
103, 52179
104, 52554
105, 53058
106, 54283
107, 53212
108, 50191
109, 51229
110, 51066
111, 51529
112, 51833
113, 52233
114, 52287
115, 52845
116, 53291
117, 53916
118, 54141
119, 54379
120, 55137
121, 55758
122, 55466
123, 56100
124, 56362
125, 57233
126, 55658
127, 56679
128, 56512
129, 58046
130, 59320
131, 59683
132, 60187
133, 60987
134, 61937
135, 63470
136, 62862
137, 62941
138, 64587
139, 65012
140, 64716
141, 65499
142, 66358
143, 66745
144, 67479
145, 67566
146, 67346
147, 67641
148, 69587
149, 67816
150, 70454
151, 68883
152, 69508
153, 69841
154, 70712
155, 71166
156, 72016
157, 72020
158, 72825
159, 73454
160, 76637
161, 83504
162, 80983
163, 82395
164, 77454
165, 79270
166, 83241
167, 82537
168, 83025
169, 87283
170, 78404
171, 80370
172, 79133
173, 79349
174, 79791
175, 80508
176, 80837
177, 81125
178, 82841
179, 82075
180, 82845
