Element Count, Merge Sort - Descending
10, 4566
11, 3670
12, 3970
13, 4387
14, 4650
15, 4970
16, 5208
17, 6324
18, 6604
19, 7112
20, 7912
21, 8079
22, 8371
23, 8725
24, 8916
25, 9446
26, 9750
27, 10587
28, 10362
29, 10749
30, 11658
31, 12200
32, 12841
33, 16229
34, 14208
35, 15045
36, 14504
37, 15070
38, 15533
39, 15962
40, 16412
41, 17971
42, 17237
43, 17608
44, 18208
45, 18429
46, 18904
47, 19208
48, 19816
49, 19916
50, 20420
51, 20720
52, 21025
53, 22041
54, 23520
55, 22891
56, 22737
57, 22958
58, 23150
59, 23925
60, 24587
61, 25987
62, 25716
63, 25154
64, 25629
65, 26137
66, 26983
67, 27816
68, 30837
69, 29087
70, 29920
71, 30383
72, 31008
73, 31654
74, 32471
75, 35166
76, 34016
77, 33691
78, 34241
79, 35445
80, 37979
81, 36433
82, 35804
83, 36312
84, 37854
85, 37287
86, 37608
87, 38133
88, 39416
89, 39237
90, 40621
91, 41670
92, 40154
93, 40658
94, 42096
95, 44599
96, 41441
97, 41987
98, 42233
99, 42841
100, 43050
101, 43387
102, 44191
103, 44912
104, 47616
105, 45954
106, 45600
107, 46979
108, 48791
109, 46795
110, 47208
111, 49420
112, 47941
113, 48220
114, 48678
115, 48937
116, 49054
117, 52462
118, 51179
119, 52195
120, 53408
121, 50812
122, 51358
123, 51808
124, 53083
125, 52129
126, 52587
127, 52925
128, 53116
129, 58537
130, 55129
131, 56912
132, 59612
133, 59025
134, 58904
135, 60725
136, 61449
137, 60841
138, 61387
139, 67691
140, 63545
141, 63999
142, 68549
143, 64762
144, 65300
145, 66095
146, 67587
147, 66720
148, 67308
149, 73237
150, 68687
151, 71037
152, 73137
153, 70200
154, 70683
155, 72858
156, 73404
157, 77312
158, 74854
159, 75370
160, 75191
161, 74504
162, 74666
163, 75412
164, 77566
165, 75854
166, 80954
167, 77633
168, 81833
169, 78225
170, 78108
171, 78470
172, 78870
173, 81125
174, 82666
175, 82079
176, 84408
177, 81354
178, 83237
179, 82370
180, 82499
181, 84087
182, 87154
183, 84712
184, 87416
185, 84341
186, 84645
187, 84958
188, 88112
189, 89183
190, 87454
191, 89100
192, 88342
193, 91775
194, 87958
195, 89008
196, 89087
197, 97400
198, 93966
199, 90937
200, 91045
201, 91391
202, 91612
203, 92112
204, 96233
205, 94016
206, 98374
207, 93912
208, 94524
209, 94658
210, 98291
211, 98508
212, 98466
213, 98187
214, 98741
215, 97045
216, 97529
217, 101741
218, 99425
219, 104487
220, 99012
221, 99787
222, 101033
223, 104191
224, 103554
225, 105291
226, 101483
227, 101845
228, 102354
229, 102637
230, 109100
231, 109470
232, 104395
233, 103929
234, 104516
235, 104608
236, 108341
237, 106716
238, 110837
239, 105820
240, 106320
241, 106770
242, 110991
243, 109154
244, 110058
245, 107958
246, 110375
247, 108749
248, 111983
249, 110937
250, 112787
251, 110391
252, 110325
253, 112437
254, 115983
255, 111691
256, 112170
257, 114262
258, 113787
259, 114645
260, 120150
261, 118504
262, 117841
263, 118475
264, 119883
265, 125445
266, 121233
267, 124283
268, 130933
269, 131683
270, 136220
271, 126312
272, 130924
273, 127129
274, 128779
275, 128221
276, 129545
277, 130008
278, 130416
279, 131458
280, 139783
281, 133674
282, 132841
283, 133308
284, 134362
285, 135400
286, 136716
287, 138195
288, 137133
289, 140729
290, 138695
291, 139162
292, 140349
293, 141566
294, 140254
295, 141516
296, 141654
297, 143083
298, 144021
299, 143783
300, 145083
301, 143929
302, 145191
303, 145675
304, 148200
305, 146529
306, 147375
307, 148487
308, 147829
309, 148529
310, 151704
311, 149645
312, 150524
313, 150741
314, 151391
315, 152062
316, 154683
317, 152999
318, 153779
319, 156541
320, 154933
321, 157466
322, 155862
323, 159933
324, 156220
325, 156883
326, 157387
327, 163491
328, 161200
329, 158799
330, 159800
331, 160445
332, 167083
333, 160458
334, 160891
335, 163516
336, 166154
337, 163904
338, 163083
339, 165400
340, 168820
341, 164641
342, 166374
343, 166250
344, 169716
345, 167295
346, 167083
347, 168004
348, 179212
349, 171495
350, 171637
351, 172495
352, 177341
353, 173729
354, 173871
355, 173628
356, 176387
357, 173562
358, 172508
359, 173504
360, 175600
361, 174075
362, 176170
363, 175329
364, 177754
365, 175041
366, 175254
367, 181421
368, 178191
369, 181270
370, 178374
371, 181316
372, 180704
373, 178000
374, 178466
375, 184599
376, 179941
377, 182912
378, 183529
379, 182171
380, 183075
381, 187304
382, 186362
383, 182521
384, 182696
385, 183612
386, 186087
387, 194962
388, 188533
389, 191212
390, 191883
391, 191254
392, 187187
393, 186754
394, 187399
395, 190554
396, 188383
397, 189000
398, 189270
399, 191854
400, 193325
401, 194983
402, 192829
403, 191825
404, 195716
405, 194116
406, 193470
407, 197791
408, 197566
409, 194537
410, 194649
411, 196950
412, 195666
413, 197216
414, 198303
415, 200279
416, 203991
417, 200025
418, 206454
419, 198241
420, 199425
421, 201466
422, 202316
423, 200070
424, 236295
425, 203383
426, 201729
427, 201895
428, 209279
429, 202758
430, 204379
431, 202866
432, 204254
433, 206479
434, 209133
435, 204991
436, 207287
437, 206962
438, 208695
439, 206820
440, 207354
441, 210199
442, 209954
443, 209096
444, 209712
445, 210020
446, 212491
447, 211691
448, 214183
449, 212749
450, 215487
451, 214083
452, 218599
453, 222879
454, 217670
455, 237912
456, 254391
457, 216825
458, 215970
459, 216675
460, 220441
461, 215612
462, 220208
463, 216116
464, 217571
465, 223450
466, 221458
467, 219020
468, 220895
469, 227695
470, 224704
471, 223391
472, 219771
473, 220129
474, 226320
475, 221945
476, 221887
477, 224850
478, 222308
479, 224983
480, 225683
481, 223558
482, 223699
483, 223270
484, 232749
485, 230095
486, 232400
487, 226008
488, 226454
489, 229995
490, 227362
491, 226408
492, 227958
493, 230595
494, 239287
495, 232562
496, 231545
497, 228616
498, 229133
499, 240612
500, 230512
501, 229737
502, 231316
503, 230996
504, 235341
505, 234745
506, 235645
507, 234891
508, 233366
509, 238387
510, 233400
511, 235250
512, 235766
513, 235633
514, 235758
515, 248079
516, 239837
517, 239541
518, 244237
519, 241621
520, 242075
521, 243225
522, 246366
523, 245666
524, 246966
525, 250962
526, 248316
527, 249258
528, 250662
529, 252704
530, 252070
531, 253008
532, 256220
533, 254962
534, 257508
535, 259387
536, 257966
537, 257800
538, 258846
539, 263441
540, 263108
541, 265416
542, 273108
543, 268841
544, 268133
545, 266033
546, 265845
547, 266345
548, 266837
549, 267945
550, 268029
551, 269316
552, 271833
553, 271033
554, 270195
555, 274595
556, 272320
557, 272512
558, 274729
559, 273950
560, 274745
561, 278100
562, 276904
563, 277525
564, 284795
565, 282854
566, 279020
567, 284983
568, 282441
569, 280925
570, 283062
571, 286862
572, 287220
573, 283333
574, 285366
575, 286895
576, 292033
577, 290545
578, 288400
579, 291274
580, 289641
581, 288845
582, 292329
583, 293420
584, 290054
585, 291749
586, 292629
587, 291791
588, 293320
589, 295066
590, 293945
591, 300154
592, 301945
593, 301616
594, 302175
595, 297116
596, 305033
597, 302787
598, 305133
599, 298591
600, 302645
601, 306166
602, 304358
603, 308696
604, 302362
605, 312545
606, 309700
607, 314154
608, 304354
609, 312328
610, 311171
611, 311450
612, 314079
613, 306137
614, 315933
615, 310654
616, 317258
617, 313333
618, 347837
619, 356783
620, 337591
621, 322920
622, 324154
623, 323779
624, 325325
625, 325866
626, 329833
627, 325279
628, 328000
629, 326741
630, 327596
631, 329996
632, 328154
633, 355075
634, 330837
635, 333725
636, 333062
637, 337566
638, 331262
639, 334483
640, 321766
641, 333983
642, 322445
643, 334625
644, 326508
645, 328212
646, 332950
647, 327704
648, 329229
649, 329125
650, 332408
651, 326900
652, 338870
653, 330145
654, 334658
655, 332062
656, 340329
657, 331104
658, 335604
659, 332741
660, 352912
661, 338208
662, 338387
663, 333354
664, 341191
665, 337462
666, 335437
667, 338504
668, 336408
669, 336266
670, 339596
671, 337462
672, 339308
673, 338091
674, 338491
675, 341304
676, 339387
677, 343487
678, 342425
679, 340796
680, 343695
681, 342041
682, 342583
683, 344524
684, 343608
685, 346745
686, 345224
687, 348262
688, 350804
689, 369004
690, 349012
691, 347658
692, 346829
693, 350108
694, 348012
695, 351312
696, 350866
697, 350674
698, 354137
699, 372312
700, 352000
701, 352770
702, 353958
703, 356099
704, 354166
705, 354825
706, 353308
707, 353887
708, 356987
709, 356404
710, 358666
711, 356650
712, 360683
713, 358879
714, 356983
715, 360779
716, 358704
717, 361366
718, 359595
719, 362933
720, 362846
721, 362800
722, 363700
723, 373862
724, 402341
725, 364887
726, 366287
727, 374320
728, 366520
729, 370650
730, 366133
731, 374145
732, 367904
733, 371737
734, 368900
735, 374808
736, 374812
737, 370529
738, 371946
739, 374183
740, 372950
741, 371991
742, 374766
743, 379112
744, 376416
745, 382154
746, 404062
747, 397154
748, 414008
749, 398320
750, 383041
751, 391499
752, 414775
753, 384458
754, 382941
755, 377999
756, 379045
757, 378795
758, 381287
759, 380900
760, 385612
761, 391149
762, 381754
763, 387962
764, 380666
765, 388841
766, 384912
767, 385458
768, 383708
769, 387033
770, 389375
771, 383374
772, 386795
773, 388283
774, 384408
775, 384199
776, 383512
777, 385883
778, 384683
779, 388854
780, 389683
781, 386112
782, 388158
783, 386978
784, 392637
785, 388570
786, 393941
787, 388262
788, 389437
789, 392812
790, 390954
791, 392433
792, 390966
793, 393220
794, 393671
795, 396645
796, 394179
797, 396120
798, 394695
799, 394354
800, 396550
801, 397016
802, 400824
803, 398074
804, 398391
805, 398012
806, 399050
807, 398579
808, 404645
809, 399158
810, 401145
811, 403020
812, 401333
813, 403337
814, 404429
815, 406854
816, 407041
817, 405291
818, 403470
819, 406229
820, 404554
821, 407733
822, 404879
823, 406783
824, 410929
825, 412449
826, 407420
827, 407283
828, 410566
829, 413287
830, 415004
831, 410754
832, 413791
833, 410829
834, 413275
835, 411208
836, 414350
837, 412420
838, 413924
839, 416079
840, 413970
841, 418704
842, 415158
843, 418404
844, 415124
845, 418699
846, 426841
847, 418199
848, 424962
849, 420445
850, 422850
851, 432954
852, 420116
853, 427608
854, 423741
855, 451787
856, 433696
857, 423433
858, 439658
859, 432679
860, 432866
861, 432254
862, 436562
863, 436650
864, 433512
865, 437454
866, 434450
867, 435708
868, 432108
869, 433220
870, 442091
871, 442020
872, 449537
873, 443520
874, 440108
875, 437454
876, 438471
877, 435179
878, 444528
879, 437016
880, 439975
881, 449545
882, 442483
883, 439496
884, 435266
885, 439091
886, 436179
887, 440158
888, 437241
889, 437750
890, 437291
891, 438550
892, 439945
893, 443891
894, 437629
895, 442729
896, 439883
897, 442183
898, 445820
899, 442774
