Element Count, Quick Sort - Ascending
10, 420
11, 466
12, 537
13, 637
14, 733
15, 783
16, 866
17, 966
18, 1079
19, 1179
20, 1279
21, 1408
22, 1521
23, 1654
24, 1791
25, 1929
26, 2070
27, 2229
28, 2370
29, 2529
30, 2700
31, 2854
32, 3083
33, 3291
34, 3529
35, 3770
36, 3983
37, 4150
38, 4345
39, 4554
40, 4787
41, 4983
42, 5195
43, 5437
44, 5658
45, 5941
46, 7158
47, 6858
48, 7437
49, 6933
50, 7162
51, 7437
52, 7716
53, 7983
54, 8346
55, 8871
56, 9137
57, 8879
58, 9137
59, 9433
60, 9720
61, 10033
62, 11012
63, 11125
64, 10991
65, 11370
66, 11729
67, 12150
68, 12504
69, 12837
70, 13191
71, 13554
72, 14458
73, 14483
74, 14750
75, 15479
76, 15387
77, 15787
78, 16187
79, 16566
80, 18545
81, 18570
82, 18591
83, 18229
84, 18637
85, 19037
86, 19495
87, 19904
88, 20762
89, 20791
90, 21241
91, 25783
92, 22979
93, 22616
94, 23099
95, 23566
96, 24449
97, 25508
98, 25345
99, 25554
100, 26100
101, 26658
102, 27158
103, 29633
104, 28949
105, 28729
106, 30391
107, 29787
108, 30283
109, 31054
110, 31462
111, 32100
112, 32537
113, 33091
114, 33666
115, 34725
116, 35162
117, 35316
118, 35937
119, 38370
120, 39395
121, 37737
122, 38304
123, 38966
124, 39562
125, 40158
126, 40779
127, 42170
128, 45000
129, 44945
130, 45154
131, 45696
132, 46470
133, 49308
134, 49600
135, 48716
136, 47633
137, 48100
138, 48820
139, 49787
140, 50520
141, 50866
142, 51620
143, 52283
144, 53283
145, 55641
146, 56479
147, 55479
148, 56345
149, 57008
150, 58670
151, 58104
152, 58833
153, 59587
154, 60391
155, 61133
156, 61912
157, 62720
158, 63471
159, 64224
160, 65079
161, 69820
162, 85050
163, 72379
164, 73370
165, 76512
166, 72120
167, 71116
168, 74141
169, 72479
170, 73358
171, 74183
172, 77416
173, 80729
174, 81004
175, 83754
176, 85729
177, 85450
178, 116241
179, 103779
180, 88220
181, 88604
182, 93195
183, 99462
184, 94541
185, 94012
186, 95391
187, 101291
188, 93399
189, 95362
190, 99379
191, 98808
192, 99783
193, 101920
194, 101137
195, 100537
196, 101666
197, 100716
198, 98916
199, 100870
200, 102595
201, 109300
202, 107229
203, 103879
204, 105208
205, 105879
206, 106912
207, 110550
208, 110799
209, 110475
210, 111787
211, 114583
212, 113091
213, 117529
214, 116566
215, 119287
216, 117445
217, 119854
218, 119716
219, 124395
220, 121908
221, 122708
222, 125508
223, 125966
224, 126529
225, 130275
226, 134079
227, 134758
228, 139346
229, 141595
230, 137879
231, 139387
232, 140316
233, 142775
234, 142470
235, 142129
236, 145416
237, 151554
238, 147062
239, 150591
240, 145800
241, 150495
242, 149950
243, 148025
244, 153720
245, 150712
246, 163212
247, 154108
248, 157049
249, 155262
250, 156733
251, 157958
252, 165574
253, 165279
254, 161670
255, 165737
256, 164412
257, 171625
258, 166495
259, 168920
260, 170646
261, 172804
262, 174466
263, 180420
264, 180570
265, 186516
266, 186870
267, 192371
268, 195825
269, 193316
270, 182791
271, 188595
272, 186191
273, 187700
274, 191099
275, 188833
276, 190195
277, 213696
278, 194254
279, 198399
280, 197012
281, 200445
282, 198679
283, 210046
284, 204108
285, 204100
286, 205275
287, 208479
288, 211275
289, 218175
290, 318158
291, 213683
292, 215404
293, 228012
294, 227891
295, 226587
296, 248129
297, 221787
298, 221845
299, 234716
300, 224762
301, 229229
302, 230900
303, 229041
304, 230412
305, 236604
306, 238029
307, 239071
308, 251758
309, 253141
310, 245478
311, 245570
312, 257470
313, 245300
314, 251583
315, 250783
316, 255691
317, 269770
318, 293900
319, 275516
320, 289624
321, 292483
322, 298445
323, 282254
324, 263720
325, 265037
326, 269083
327, 268287
328, 269271
329, 285795
330, 286308
331, 279583
332, 280104
