Element Count, Quick Sort - Descending
10, 358
11, 304
12, 366
13, 433
14, 425
15, 570
16, 529
17, 633
18, 683
19, 770
20, 983
21, 795
22, 1000
23, 1033
24, 1233
25, 1254
26, 1270
27, 1600
28, 1175
29, 1679
30, 1958
31, 1908
32, 2012
33, 1791
34, 2033
35, 2016
36, 2658
37, 2491
38, 2241
39, 3237
40, 2825
41, 2545
42, 3595
43, 3654
44, 3008
45, 3808
46, 3699
47, 4475
48, 4450
49, 4558
50, 4333
51, 4404
52, 4950
53, 4870
54, 5575
55, 6062
56, 6379
57, 6075
58, 5412
59, 5812
60, 6737
61, 6950
62, 7183
63, 5875
64, 6558
65, 7345
66, 7137
67, 7495
68, 8366
69, 7762
70, 8120
71, 8229
72, 10100
73, 7445
74, 7895
75, 8950
76, 9558
77, 9774
78, 10683
79, 11095
80, 11187
81, 9883
82, 10558
83, 10720
84, 11841
85, 10375
86, 11400
87, 13050
88, 11183
89, 10778
90, 13699
91, 12045
92, 13745
93, 14937
94, 15541
95, 12437
96, 14324
97, 14054
98, 17475
99, 16621
100, 15595
101, 17495
102, 16633
103, 15237
104, 18766
105, 17845
106, 15920
107, 17891
108, 20033
109, 18120
110, 20033
111, 20270
112, 20646
113, 19562
114, 21562
115, 20750
116, 19691
117, 22829
118, 21808
119, 20358
120, 23866
121, 23379
122, 26070
123, 25624
124, 23495
125, 22370
126, 25774
127, 27633
128, 26179
129, 25216
130, 27500
131, 26191
132, 27445
133, 25666
134, 28612
135, 31287
136, 29816
137, 30383
138, 37516
139, 31920
140, 30920
141, 33762
142, 29716
143, 31283
144, 39937
145, 31254
146, 30804
147, 36446
148, 33416
149, 35479
150, 32275
151, 33770
152, 36533
153, 34754
154, 36633
155, 38041
156, 38962
157, 42037
158, 38824
159, 39770
160, 42208
161, 36941
162, 39337
163, 45041
164, 38808
165, 46054
166, 44266
167, 42575
168, 46291
169, 41471
170, 44487
171, 46720
172, 44170
173, 44808
174, 45137
175, 44520
176, 48508
177, 50053
178, 45554
179, 44445
180, 53929
181, 49345
182, 52562
183, 50858
184, 48295
185, 50637
186, 50879
187, 50733
188, 55550
189, 54804
190, 56208
191, 57583
192, 55112
193, 53566
194, 61529
