Element Count, Selection Sort - Ascending
10, 224
11, 241
12, 266
13, 312
14, 358
15, 400
16, 445
17, 508
18, 549
19, 600
20, 666
21, 720
22, 787
23, 854
24, 925
25, 970
26, 1074
27, 1125
28, 1195
29, 1283
30, 1400
31, 1483
32, 1650
33, 1649
34, 1800
35, 1983
36, 2054
37, 2183
38, 2325
39, 2266
40, 2316
41, 2441
42, 2562
43, 2662
44, 2770
45, 2904
46, 3016
47, 3179
48, 3291
49, 3541
50, 3900
51, 3716
52, 3845
53, 4037
54, 4204
55, 4404
56, 4400
57, 4583
58, 4783
59, 4950
60, 5016
61, 5329
62, 5337
63, 5500
64, 5670
65, 5912
66, 6029
67, 6320
68, 6600
69, 6708
70, 6724
71, 6879
72, 7087
73, 7275
74, 7483
75, 7700
76, 7920
77, 8091
78, 8445
79, 8624
80, 9054
81, 8904
82, 9183
83, 9670
84, 9800
85, 10445
86, 10524
87, 10204
88, 10441
89, 10666
90, 10908
91, 11345
92, 11883
93, 11599
94, 11875
95, 12112
96, 12849
97, 12904
98, 12849
99, 13095
100, 13679
101, 13712
102, 14058
103, 14175
104, 14424
105, 15012
106, 14945
107, 15233
108, 15520
109, 15770
110, 16054
111, 16371
112, 16662
113, 17333
114, 17904
115, 19854
116, 18025
117, 18237
118, 18433
119, 18937
120, 19116
121, 19354
122, 19662
123, 20041
124, 20283
125, 20599
126, 20916
127, 21275
128, 21745
129, 21912
130, 22237
131, 23395
132, 23112
133, 23270
134, 24637
135, 25687
136, 26187
137, 26554
138, 27074
139, 25371
140, 25691
141, 26070
142, 26450
143, 26800
144, 27108
145, 27520
146, 27929
147, 28337
148, 29108
149, 29033
150, 29420
151, 30037
152, 30212
153, 31358
154, 32562
155, 35845
156, 31866
157, 32121
158, 32570
159, 32929
160, 33362
161, 33787
162, 34154
163, 34616
164, 35062
165, 36762
166, 37420
167, 37566
168, 45454
169, 41804
170, 38891
171, 39041
172, 38737
173, 39575
174, 39562
175, 39745
176, 40166
177, 40625
178, 43762
179, 51400
180, 45220
181, 45112
182, 45245
183, 44908
184, 45587
185, 45850
186, 46412
187, 47100
188, 47479
189, 48412
190, 46708
191, 49808
192, 48387
193, 48596
194, 51383
195, 51453
196, 49653
197, 51550
198, 50941
199, 51162
200, 51662
201, 52429
202, 53745
203, 54616
204, 56575
205, 56295
206, 54725
207, 58379
208, 62925
209, 59741
210, 63575
211, 57696
212, 60583
213, 58504
214, 63087
215, 60225
216, 62195
217, 62812
218, 63383
219, 63974
220, 64553
221, 65141
222, 64554
223, 65041
224, 70362
225, 68187
226, 68150
227, 68679
228, 70512
229, 69845
230, 74483
231, 69712
232, 72637
233, 71583
234, 70670
235, 71291
236, 73579
237, 72820
238, 74762
239, 74429
240, 75816
241, 82612
242, 79141
243, 76137
244, 76612
245, 77104
246, 77712
247, 80400
248, 81645
249, 84399
250, 80170
251, 81116
252, 82637
253, 83804
254, 86316
255, 84141
256, 84058
257, 85458
258, 89062
259, 85983
260, 88020
261, 90529
262, 88562
263, 88920
264, 89816
265, 90725
266, 91675
267, 94962
268, 95683
269, 93229
270, 93337
271, 94308
272, 94741
273, 95424
274, 96096
275, 98066
276, 97508
277, 98195
278, 101004
279, 103446
280, 104654
281, 104491
282, 102812
283, 104345
284, 103491
285, 104200
286, 107674
287, 110145
288, 110866
289, 111591
290, 128675
291, 109816
292, 110250
293, 114087
294, 111208
295, 111200
296, 112220
297, 112975
298, 118633
299, 117024
300, 115237
301, 115729
302, 116483
303, 117558
304, 122354
305, 121366
306, 119545
307, 122604
308, 121325
309, 121870
310, 129950
311, 128695
312, 129258
313, 129687
314, 130741
315, 131345
316, 132337
317, 134966
318, 134954
319, 131570
320, 139391
321, 136537
322, 136983
323, 138924
324, 139258
325, 143550
326, 144950
327, 136841
328, 137187
329, 138046
330, 143012
331, 140420
332, 141195
333, 141329
334, 142245
335, 144329
336, 148075
337, 150337
338, 148820
339, 147175
340, 157095
341, 148887
342, 152204
343, 151795
344, 151275
345, 152145
346, 152824
347, 155820
348, 154437
349, 156783
350, 156570
351, 156950
352, 157987
353, 176529
354, 159770
355, 160854
356, 161750
357, 162704
358, 164808
359, 164287
360, 165020
361, 166083
362, 167166
363, 170470
364, 169687
365, 170020
366, 170537
367, 172333
368, 174437
369, 178020
370, 185566
371, 183537
372, 183737
373, 180558
374, 180254
375, 180920
376, 180125
377, 182812
378, 187045
379, 184595
380, 185716
381, 185379
382, 189462
383, 187445
384, 188279
385, 189316
386, 190762
387, 191416
388, 191487
389, 192983
390, 194062
391, 196787
392, 202950
393, 205029
394, 332591
395, 200429
396, 202858
397, 205433
398, 208725
399, 210816
400, 210433
401, 213024
402, 205899
403, 208891
404, 219929
405, 219024
406, 219791
407, 229712
408, 224437
409, 224320
410, 243433
411, 228100
412, 224758
413, 222683
414, 218325
415, 222958
416, 230046
417, 224145
418, 223329
419, 232070
420, 224696
421, 225554
422, 244075
423, 233108
424, 234325
425, 239391
426, 233312
427, 234829
428, 239329
429, 243120
430, 247316
431, 249862
432, 244712
433, 238958
434, 250025
435, 255104
436, 255233
437, 270183
438, 245620
439, 249549
440, 245929
441, 266096
442, 253850
443, 255625
444, 256570
445, 254612
446, 253691
447, 277599
448, 256175
449, 256583
450, 257866
451, 262812
452, 263695
453, 263825
454, 266499
455, 283616
456, 264791
457, 269512
458, 295329
459, 278162
460, 275516
461, 276266
462, 274616
463, 281395
464, 280991
465, 285075
466, 276724
467, 279075
468, 285941
469, 279675
470, 288746
471, 285212
472, 288204
473, 296333
474, 291208
475, 301912
476, 313300
477, 305079
478, 317850
479, 302096
480, 298579
481, 310566
482, 317725
483, 312500
484, 330466
485, 312466
486, 311533
487, 306554
488, 304754
489, 315983
490, 307545
491, 312350
492, 315045
493, 332671
494, 314100
495, 312516
496, 324629
497, 318712
498, 329304
499, 326420
500, 317354
501, 319271
502, 346625
503, 334462
504, 324275
505, 326800
506, 329954
507, 331320
508, 332841
509, 330662
510, 336208
511, 335000
512, 332774
513, 355695
514, 337283
515, 342904
516, 347099
517, 354041
518, 432391
519, 366262
520, 361070
521, 360254
522, 346691
523, 358437
524, 463850
525, 477462
526, 372658
527, 378324
528, 384712
529, 378800
530, 363675
531, 376433
532, 375929
533, 375175
534, 380091
535, 389787
536, 365345
537, 376241
538, 383420
539, 381446
540, 384608
541, 382208
542, 379904
543, 379229
544, 381100
545, 379574
546, 396200
547, 383995
548, 387545
549, 385566
550, 396250
551, 405295
552, 391116
553, 410445
554, 390116
555, 414062
556, 407370
557, 406662
558, 407862
559, 404970
560, 405858
561, 400212
562, 406320
563, 417333
564, 407095
565, 405008
566, 420441
567, 423416
568, 411804
569, 416016
570, 411204
571, 419587
572, 414341
573, 419504
574, 431579
575, 431158
576, 427337
577, 433245
578, 434691
579, 435170
580, 435862
581, 434920
582, 438295
583, 445300
584, 446937
585, 440616
586, 436674
587, 439150
588, 450345
589, 451816
590, 450329
591, 451062
592, 452645
593, 451887
594, 460483
595, 460241
596, 462108
597, 456924
598, 501525
599, 516099
600, 473149
601, 461595
602, 513133
603, 510745
604, 461549
605, 491983
606, 573504
607, 483854
608, 483666
609, 489437
610, 488679
611, 483095
612, 521796
613, 494550
614, 515062
615, 501275
616, 510754
617, 487483
618, 496966
619, 510054
620, 499662
621, 491937
622, 498604
623, 509004
624, 4501241
625, 1112854
626, 2173562
627, 1128929
628, 827837
629, 513308
630, 510953
631, 510183
632, 512849
633, 523716
634, 526866
635, 512262
636, 517887
637, 556687
638, 522449
639, 525083
640, 535891
641, 525312
642, 564641
643, 546466
644, 550033
645, 543475
646, 550875
647, 536621
648, 541345
649, 537875
650, 541562
651, 540879
652, 547891
653, 561658
654, 567470
655, 556604
656, 560591
657, 568708
658, 553741
659, 653416
660, 654233
661, 585762
662, 597558
663, 566633
664, 571191
665, 566471
666, 572716
667, 585379
668, 575458
669, 572724
670, 603224
671, 585745
672, 592041
673, 628579
674, 613229
675, 635879
676, 621041
677, 595504
678, 604416
679, 599600
680, 611133
681, 620245
682, 609970
683, 607274
684, 597199
685, 637408
686, 652383
687, 612479
688, 613233
689, 600554
690, 613770
691, 606604
692, 611929
693, 610537
694, 610391
695, 633970
696, 635854
697, 668304
698, 620104
699, 619850
700, 628216
701, 631841
702, 636766
703, 632108
704, 626995
705, 642154
706, 636979
707, 636108
708, 637245
709, 636300
710, 638270
711, 649099
712, 662041
713, 668529
714, 672120
715, 655441
716, 657270
717, 664496
718, 656995
719, 667624
720, 656254
721, 665404
722, 661570
723, 663400
724, 668212
725, 672283
726, 675670
727, 686429
728, 672587
729, 684033
730, 686283
731, 684408
732, 684625
733, 687820
734, 688383
735, 693325
736, 730383
737, 742012
738, 716324
739, 704879
740, 709175
741, 712158
742, 702162
743, 706749
744, 704283
745, 871658
746, 869416
747, 722983
748, 741500
749, 766121
750, 784037
751, 731308
752, 727454
753, 724558
754, 725016
755, 719958
756, 744033
757, 726483
758, 729108
759, 733966
760, 738287
761, 743033
762, 753358
763, 743695
764, 771541
765, 797579
766, 777170
767, 761016
768, 768070
769, 799108
770, 875062
771, 833079
772, 778829
773, 767520
774, 819283
775, 889087
776, 785650
777, 812249
778, 864520
779, 1001983
780, 844558
781, 809937
782, 797662
783, 811679
784, 785687
785, 811916
786, 791383
787, 819329
788, 821737
