Element Count, Selection Sort - Random
10, 241
11, 245
12, 300
13, 354
14, 412
15, 445
16, 562
17, 587
18, 720
19, 816
20, 887
21, 962
22, 1058
23, 1129
24, 1204
25, 1262
26, 1383
27, 1504
28, 1633
29, 1745
30, 1862
31, 1958
32, 2058
33, 2449
34, 2450
35, 2554
36, 2675
37, 2708
38, 2854
39, 3116
40, 3221
41, 3241
42, 3495
43, 3554
44, 3687
45, 3966
46, 4174
47, 4179
48, 4354
49, 4612
50, 4687
51, 4879
52, 5108
53, 5154
54, 5420
55, 5579
56, 5983
57, 6041
58, 6220
59, 6233
60, 6770
61, 6825
62, 7395
63, 7183
64, 7433
65, 7366
66, 7858
67, 8020
68, 8317
69, 8320
70, 8866
71, 8937
72, 9433
73, 9758
74, 9662
75, 9953
76, 10116
77, 10441
78, 10733
79, 10704
80, 11316
81, 11333
82, 11375
83, 12029
84, 12095
85, 14070
86, 12846
87, 12970
88, 12670
89, 13849
90, 13929
91, 13741
92, 14095
93, 14562
94, 14954
95, 15375
96, 15262
97, 15725
98, 15825
99, 16354
100, 16916
101, 17008
102, 18049
103, 17579
104, 18037
105, 18237
106, 18554
107, 18849
108, 19050
109, 19470
110, 19716
111, 20091
112, 21575
113, 21029
114, 22037
115, 22041
116, 23370
117, 22695
118, 24129
119, 23804
120, 23795
121, 24187
122, 24162
123, 24145
124, 25258
125, 24937
126, 25974
127, 25533
128, 25858
129, 28124
130, 26945
131, 27496
132, 28112
133, 28229
134, 30108
135, 29220
136, 29050
137, 29383
138, 30283
139, 30983
140, 31266
141, 31204
142, 32250
143, 33487
144, 32875
145, 32987
146, 33429
147, 34287
148, 34454
149, 34658
150, 35929
151, 35012
152, 35812
153, 36841
154, 37325
155, 37025
156, 38595
157, 38400
158, 38941
159, 38941
160, 40154
161, 39754
162, 42275
163, 40896
164, 41300
165, 41862
166, 43520
167, 42908
168, 43833
169, 44112
170, 44470
171, 44675
172, 45712
173, 45895
174, 46270
175, 46908
176, 47470
177, 47979
178, 49833
179, 49762
180, 49425
181, 49854
182, 50566
183, 51012
184, 51249
185, 51920
186, 52712
187, 53324
188, 53912
189, 53937
190, 54516
191, 55875
192, 55612
193, 57550
194, 56558
195, 57667
196, 59208
197, 59308
198, 58866
199, 60337
200, 60937
201, 61075
202, 61270
203, 63304
204, 63941
205, 63079
206, 65554
207, 64208
208, 64262
209, 64804
210, 66483
211, 66416
212, 66929
213, 67591
214, 68037
215, 69095
216, 69491
217, 69974
218, 72308
219, 71883
220, 71758
221, 72962
222, 73570
223, 74316
224, 74704
225, 75541
226, 76762
227, 76495
228, 80195
229, 77983
230, 78712
231, 78650
232, 80654
233, 80158
234, 81441
235, 81462
236, 82679
237, 84845
238, 83800
239, 85095
240, 85175
241, 86400
242, 86762
243, 88104
244, 88766
245, 88904
246, 88575
247, 91174
248, 90487
249, 91346
250, 92674
251, 93112
252, 93979
253, 94462
254, 95300
255, 95066
256, 96425
257, 98170
258, 97062
